text,id,timestamp_ms,user.screen_name,user.id
JLo's dress! #eredcarpet #GoldenGlobes,2.906206579878871e+17,1358124338000.0,Dozaaa_xo,557374298.0
What's making Sofia Vergara's boobs stay like that? Magic? Witchcraft? #GoldenGlobes,2.906206578872197e+17,1358124338000.0,theAmberShow,14648726.0
RT @FabSugar: Kerry Washington is EVERYTHING. Dying over her Miu Miu gown! @goldenglobes #goldenglobes http://t.co/3feH7MvO,2.90620657828524e+17,1358124338000.0,SweetyPW,35498686.0
Anne Hathaway has got me living. #GoldenGlobes,2.906206577991598e+17,1358124338000.0,_NicoleEdwards,144430208.0
Jennifer Lopez's lace dress? Thoughts? #GoldenGlobes,2.906206577781883e+17,1358124338000.0,lolaogunnaike,134953223.0
Podrán criticar a #Adele de su moda y su maniquere pero jamás podrán poner en tela de juicio su TALENTO! @eonline #GoldenGlobes #RedCarpet,2.9062065771945574e+17,1358124338000.0,SabyOnford,404554221.0
"US, Weakly #GoldenGlobes",2.906206577152737e+17,1358124338000.0,alejandraoleary,45748270.0
"RT @BillMc7: ""Wait. What's that smell?!"" (everyone being interviewed by Al Roker) #GoldenGlobes",2.9062065771525325e+17,1358124338000.0,xtinavickers,92139052.0
Hugh Jackman is so awesome!!! #goldenglobes,2.906206577068728e+17,1358124338000.0,Boaz_173,31504713.0
It was awkward. RT @hollywoodhwife: They cut to and then from JLo during the Ben Affleck interview.  #goldenglobes,2.906206575600845e+17,1358124338000.0,KateSpencer1,21571382.0
hellen mirren *O* #goldenglobes,2.906206575516713e+17,1358124338000.0,ItsBlerena,359715651.0
Jennifer Lopez's dress is jaw droppingly amazing #GoldenGlobes #redcarpet,2.906206575265055e+17,1358124338000.0,noirlashlounge,21706403.0
"Jessica Alba is absolutely flawless, omg❤ #redcarpet #GoldenGlobes",2.906206573167944e+17,1358124338000.0,_VickiAnne_,371344639.0
Werk @kerrywashington Stunning!!! #GoldenGlobes red carpet,2.906206572748554e+17,1358124338000.0,LisaFranceCNN,52752875.0
Sofia Vergara este bueno ella es Sofia Vergara :) #GoldenGlobes,2.906206572329083e+17,1358124338000.0,OrsiniRobert,750218220.0
“@amsdiva: Kate Hudson's smile is as infectious as her mother's #globesphilly #goldenglobes” Truth,2.9062065717837824e+17,1358124338000.0,PhilToochi,285620930.0
